Sheet Name,Column Name,Unique Column Name,Description,Data Type,Unit,Categories,Epicollect Recommended Type,Plotting Column Name,Retain?,Processing/Collection Recommendations,Data Quality Issues
Co-Morbidities,epilepsy_medication,Co-Morbidities_epilepsy_medication,Medication for Epilepsy,String,N/A,N/A,Text,Epilepsy Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,epilepsy_particulars,Co-Morbidities_epilepsy_particulars,Additional details about epilepsy treatment,String,N/A,N/A,Text,Epilepsy Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,has_psychiatric_illness,Co-Morbidities_has_psychiatric_illness,Presence of Psychiatric Illness,Boolean,N/A,"Yes, No",Radio,Has Psychiatric Illness,Yes,"Add follow-up questions for specific diagnosis, duration, and medication if ""Yes""",Some entries include additional details
Co-Morbidities,psychiatric_illness_duration_years,Co-Morbidities_psychiatric_illness_duration_years,Duration of Psychiatric Illness,Float,Years,N/A,Numeric,Psychiatric Illness Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,psychiatric_illness_medication,Co-Morbidities_psychiatric_illness_medication,Medication for Psychiatric Illness,String,N/A,N/A,Text,Psychiatric Illness Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,psychiatric_illness_particulars,Co-Morbidities_psychiatric_illness_particulars,Additional details about psychiatric illness treatment,String,N/A,N/A,Text,Psychiatric Illness Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,had_past_surgery,Co-Morbidities_had_past_surgery,History of Past Surgery,Boolean,N/A,"Yes, No",Radio,Had Past Surgery,Yes,"Add follow-up questions for type of surgery and date if ""Yes""",Some entries include additional details
Co-Morbidities,time_since_surgery_years,Co-Morbidities_time_since_surgery_years,Time since last surgery,Float,Years,N/A,Numeric,Time Since Surgery (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,post_surgery_medication,Co-Morbidities_post_surgery_medication,Current medication related to past surgery,String,N/A,N/A,Text,Post-Surgery Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,surgery_particulars,Co-Morbidities_surgery_particulars,Additional details about past surgery,String,N/A,N/A,Text,Surgery Details,Yes,Consider creating categorical options for common surgeries,Highly variable free-text responses
Co-Morbidities,has_other_comorbidities,Co-Morbidities_has_other_comorbidities,Presence of Other Comorbidities,Boolean,N/A,"Yes, No",Radio,Has Other Comorbidities,Yes,"Add follow-up questions for specific conditions if ""Yes""",Some entries include additional details
Co-Morbidities,other_comorbidities_duration_years,Co-Morbidities_other_comorbidities_duration_years,Duration of Other Comorbidities,Float,Years,N/A,Numeric,Other Comorbidities Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,other_comorbidities_medication,Co-Morbidities_other_comorbidities_medication,Medication for Other Comorbidities,String,N/A,N/A,Text,Other Comorbidities Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,other_comorbidities_particulars,Co-Morbidities_other_comorbidities_particulars,Additional details about other comorbidities,String,N/A,N/A,Text,Other Comorbidities Details,Yes,Consider creating categorical options for common conditions,Highly variable free-text responses
Anthropometry,height_cm,Anthropometry_height_cm,Height of participant,Float,cm,N/A,Numeric,Height (cm),Yes,"Validate range (e.g., 100-250 cm), ensure consistent unit use",Some entries include units
Anthropometry,weight_kg,Anthropometry_weight_kg,Weight of participant,Float,kg,N/A,Numeric,Weight (kg),Yes,"Validate range (e.g., 20-300 kg), ensure consistent unit use",Some entries include units
Anthropometry,bmi,Anthropometry_bmi,Body Mass Index,Float,kg/m² ,N/A,Numeric,BMI (kg/m²),Yes,"Automatically calculate from height and weight, validate range (e.g., 10-60)",Some manual calculations may be incorrect
Head-to-toe Examination,skin_condition,Head-to-toeExamination_skin_condition,Condition of the skin,Categorical,N/A,"Normal, Abnormal",Radio,Skin Condition,Yes,"Add follow-up question for details if ""Abnormal""",Some inconsistent terminology
Head-to-toe Examination,skin_condition_details,Head-to-toeExamination_skin_condition_details,Details of abnormal skin condition,String,N/A,N/A,Text,Skin Condition Details,Yes,Consider creating categorical options for common skin conditions,Highly variable free-text responses
Head-to-toe Examination,hair_condition,Head-to-toeExamination_hair_condition,Condition of the hair,Categorical,N/A,"Normal, Abnormal",Radio,Hair Condition,Yes,"Add follow-up question for details if ""Abnormal""",Some inconsistent terminology
Head-to-toe Examination,hair_condition_details,Head-to-toeExamination_hair_condition_details,Details of abnormal hair condition,String,N/A,N/A,Text,Hair Condition Details,Yes,Consider creating categorical options for common hair conditions,Highly variable free-text responses
Head-to-toe Examination,nail_condition,Head-to-toeExamination_nail_condition,Condition of the nails,Categorical,N/A,"Normal, Abnormal",Radio,Nail Condition,Yes,"Add follow-up question for details if ""Abnormal""",Some inconsistent terminology
Head-to-toe Examination,nail_condition_details,Head-to-toeExamination_nail_condition_details,Details of abnormal nail condition,String,N/A,N/A,Text,Nail Condition Details,Yes,Consider creating categorical options for common nail conditions,Highly variable free-text responses
Systemic Examination,cardiovascular_exam,SystemicExamination_cardiovascular_exam,Cardiovascular system examination results,String,N/A,N/A,Text,Cardiovascular Exam,Yes,Create standardized options for common findings,Highly variable free-text responses
Systemic Examination,respiratory_exam,SystemicExamination_respiratory_exam,Respiratory system examination results,String,N/A,N/A,Text,Respiratory Exam,Yes,Create standardized options for common findings,Highly variable free-text responses
Systemic Examination,abdominal_exam,SystemicExamination_abdominal_exam,Per Abdomen examination results,String,N/A,N/A,Text,Abdominal Exam,Yes,Create standardized options for common findings,Highly variable free-text responses
Annexure-1 MMSE,orientation_time_score,Annexure-1MMSE_orientation_time_score,"Score for naming year, month, day, date, season",Integer,N/A,0-5,Numeric,Orientation (Time) Score,Yes,Validate range (0-5),Some entries out of range
Annexure-1 MMSE,orientation_place_score,Annexure-1MMSE_orientation_place_score,"Score for naming country, county, town, hospital, floor",Integer,N/A,0-5,Numeric,Orientation (Place) Score,Yes,Validate range (0-5),Some entries out of range
Annexure-1 MMSE,registration_score,Annexure-1MMSE_registration_score,Score for repeating three objects,Integer,N/A,0-3,Numeric,Registration Score,Yes,Validate range (0-3),Some entries out of range
Annexure-1 MMSE,attention_calculation_score,Annexure-1MMSE_attention_calculation_score,Score for serial 7s task,Integer,N/A,0-5,Numeric,Attention & Calculation Score,Yes,Validate range (0-5),Some entries out of range
Annexure-1 MMSE,attention_spelling_score,Annexure-1MMSE_attention_spelling_score,"Score for spelling ""WORLD"" backwards",Integer,N/A,0-5,Numeric,Attention (Spelling) Score,Yes,"Validate range (0-5), use best score of 198 or 199",Some entries out of range
Annexure-1 MMSE,recall_score,Annexure-1MMSE_recall_score,Score for recalling three objects,Integer,N/A,0-3,Numeric,Recall Score,Yes,Validate range (0-3),Some entries out of range
Annexure-1 MMSE,naming_score,Annexure-1MMSE_naming_score,Score for naming two objects,Integer,N/A,0-2,Numeric,Naming Score,Yes,Validate range (0-2),Some entries out of range
Annexure-1 MMSE,repetition_score,Annexure-1MMSE_repetition_score,Score for repeating a phrase,Integer,N/A,0-1,Numeric,Repetition Score,Yes,Validate range (0-1),Some entries out of range
Annexure-1 MMSE,comprehension_score,Annexure-1MMSE_comprehension_score,Score for following a three-stage command,Integer,N/A,0-3,Numeric,Comprehension Score,Yes,Validate range (0-3),Some entries out of range
Annexure-1 MMSE,reading_score,Annexure-1MMSE_reading_score,Score for reading and obeying a command,Integer,N/A,0-1,Numeric,Reading Score,Yes,Validate range (0-1),Some entries out of range
Annexure-1 MMSE,writing_score,Annexure-1MMSE_writing_score,Score for writing a sentence,Integer,N/A,0-1,Numeric,Writing Score,Yes,Validate range (0-1),Some entries out of range
Annexure-1 MMSE,drawing_score,Annexure-1MMSE_drawing_score,Score for copying a design,Integer,N/A,0-1,Numeric,Drawing Score,Yes,Validate range (0-1),Some entries out of range
Annexure-1 MMSE,mmse_total_score,Annexure-1MMSE_mmse_total_score,Total MMSE score,Integer,N/A,0-30,Numeric,MMSE Total Score,Yes,"Validate range (0-30), ensure it matches sum of individual scores",Some discrepancies in total calculation
Annexure-2 Simple Frail,fatigue_score,Annexure-2SimpleFrail_fatigue_score,Score for fatigue assessment,Integer,N/A,0-1,Numeric,Fatigue Score,Yes,Validate range (0-1),Some entries out of range
Annexure-2 Simple Frail,resistance_score,Annexure-2SimpleFrail_resistance_score,Score for resistance (difficulty walking up 10 steps),Integer,N/A,0-1,Numeric,Resistance Score,Yes,Validate range (0-1),Some entries out of range
Annexure-2 Simple Frail,ambulation_score,Annexure-2SimpleFrail_ambulation_score,Score for ambulation (difficulty walking several hundred yards),Integer,N/A,0-1,Numeric,Ambulation Score,Yes,Validate range (0-1),Some entries out of range
Annexure-2 Simple Frail,illness_score,Annexure-2SimpleFrail_illness_score,Score for illnesses,Integer,N/A,0-1,Numeric,Illness Score,Yes,Validate range (0-1),Some entries out of range
Annexure-2 Simple Frail,illness_details,Annexure-2SimpleFrail_illness_details,Details of illnesses reported,String,N/A,N/A,Text,Illness Details,Yes,Consider creating a standardized list of common illnesses,Highly variable free-text responses
Annexure-2 Simple Frail,current_weight_kg,Annexure-2SimpleFrail_current_weight_kg,Current weight of participant,Float,kg,N/A,Numeric,Current Weight (kg),Yes,"Ensure consistent unit use, validate range",Some entries include units
Annexure-2 Simple Frail,weight_one_year_ago_kg,Annexure-2SimpleFrail_weight_one_year_ago_kg,Weight of participant one year ago,Float,kg,N/A,Numeric,Weight One Year Ago (kg),Yes,"Ensure consistent unit use, validate range",Some entries include units
Annexure-2 Simple Frail,weight_change_percent,Annexure-2SimpleFrail_weight_change_percent,Percentage of weight change in past year,Float,%,N/A,Numeric,Weight Change (%),Yes,Automatically calculate from current and past weight,Some manual calculations may be incorrect
Annexure-2 Simple Frail,loss_of_weight_score,Annexure-2SimpleFrail_loss_of_weight_score,Score for loss of weight,Integer,N/A,0-1,Numeric,Loss of Weight Score,Yes,"Validate range (0-1), ensure it matches weight change percentage",Some discrepancies in score assignment
Annexure-2 Simple Frail,frailty_total_score,Annexure-2SimpleFrail_frailty_total_score,Total score for frailty assessment,Integer,N/A,0-5,Numeric,Frailty Total Score,Yes,"Validate range (0-5), ensure it matches sum of individual scores",Some discrepancies in total calculation
Dietary Pattern,breakfast_description,DietaryPattern_breakfast_description,Description of typical breakfast,String,N/A,N/A,Text,Breakfast Description,Yes,Consider creating categories for common breakfast types,Highly variable free-text responses
Dietary Pattern,lunch_description,DietaryPattern_lunch_description,Description of typical lunch,String,N/A,N/A,Text,Lunch Description,Yes,Consider creating categories for common lunch types,Highly variable free-text responses
Dietary Pattern,dinner_description,DietaryPattern_dinner_description,Description of typical dinner,String,N/A,N/A,Text,Dinner Description,Yes,Consider creating categories for common dinner types,Highly variable free-text responses
Dietary Pattern,has_daily_breakfast,DietaryPattern_has_daily_breakfast,Whether participant has breakfast daily,Boolean,N/A,"Yes, No",Radio,Has Daily Breakfast,Yes,"Consider adding follow-up question for frequency if ""No""",Some inconsistent terminology
Dietary Pattern,has_rice_at_dinner,DietaryPattern_has_rice_at_dinner,Whether participant has >1 bowl of rice per day at dinner,Boolean,N/A,"Yes, No",Radio,Has Rice at Dinner,Yes,Consider quantifying amount more precisely,Some entries include additional details
Dietary Pattern,frequent_meat_consumption,DietaryPattern_frequent_meat_consumption,Whether participant has meat dishes 3 or more times per week,Boolean,N/A,"Yes, No",Radio,Frequent Meat Consumption,Yes,Consider adding follow-up question for specific types of meat,Some entries include additional details
Dietary Pattern,frequent_eating_out,DietaryPattern_frequent_eating_out,Whether participant eats out/fast food 3 or more times a week,Boolean,N/A,"Yes, No",Radio,Frequent Eating Out,Yes,Consider adding follow-up question for types of restaurants/food,Some entries include additional details
Dietary Pattern,frequent_sweets_consumption,DietaryPattern_frequent_sweets_consumption,Whether participant has sweets/cakes more than once a week,Boolean,N/A,"Yes, No",Radio,Frequent Sweets Consumption,Yes,Consider quantifying frequency and amount more precisely,Some entries include additional details
Exercise Habits,exercise_frequency,ExerciseHabits_exercise_frequency,Frequency of exercise,Categorical,N/A,"Daily, 2-3 times a week, ï¹¤5 times a month, None",Dropdown,Exercise Frequency,Yes,Consider adding more granular options,Some inconsistent terminology
Exercise Habits,average_daily_steps,ExerciseHabits_average_daily_steps,Average daily step count,Integer,steps,N/A,Numeric,Average Daily Steps,Yes,"Validate range (e.g., 0-50000), consider source of data (e.g., pedometer, smartphone)",Some entries include units or ranges
Exercise Habits,work_activity_level,ExerciseHabits_work_activity_level,Level of physical activity at work,Categorical,N/A,"High physical activity, Moderate physical activity, Desk Job, Unemployed",Dropdown,Work Activity Level,Yes,Consider adding more detailed categories,Some entries don't match predefined categories
Exercise Habits,exercise_types,ExerciseHabits_exercise_types,Types of exercise performed,Categorical,N/A,"Walking, Running, Weight training/Strength Training, Cardio workout, Yoga, Other",Checkbox,Exercise Types,Yes,"Allow multiple selections, add field for ""Other"" specification",Some entries include multiple types in free text
Food Frequency List,cereals_frequency,FoodFrequencyList_cereals_frequency,Frequency of cereal consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Cereals Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,pulses_frequency,FoodFrequencyList_pulses_frequency,Frequency of pulse consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Pulses Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,green_leafy_veg_frequency,FoodFrequencyList_green_leafy_veg_frequency,Frequency of green leafy vegetable consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Green Leafy Veg Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,roots_tubers_frequency,FoodFrequencyList_roots_tubers_frequency,Frequency of roots and tubers consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Roots and Tubers Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,other_veg_frequency,FoodFrequencyList_other_veg_frequency,Frequency of other vegetable consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Other Vegetables Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,fruits_frequency,FoodFrequencyList_fruits_frequency,Frequency of fruit consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Fruits Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,egg_frequency,FoodFrequencyList_egg_frequency,Frequency of egg consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Egg Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,nuts_frequency,FoodFrequencyList_nuts_frequency,Frequency of nut consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Nuts Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,fats_oils_frequency,FoodFrequencyList_fats_oils_frequency,Frequency of fats and oils consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Fats and Oils Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,sugars_jaggery_frequency,FoodFrequencyList_sugars_jaggery_frequency,Frequency of sugars and jaggery consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Sugars and Jaggery Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,sweets_frequency,FoodFrequencyList_sweets_frequency,Frequency of chocolates/ice creams/cool drinks consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Sweets Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Food Frequency List,non_veg_frequency,FoodFrequencyList_non_veg_frequency,Frequency of non-vegetarian food consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Non-Veg Consumption Frequency,Yes,Consider adding quantity and type information,Some entries include additional details
Food Frequency List,processed_food_frequency,FoodFrequencyList_processed_food_frequency,Frequency of tinned food/junk food consumption,Categorical,N/A,"Daily, Weekly, Monthly, Occasionally, Never",Dropdown,Processed Food Consumption Frequency,Yes,Consider adding quantity information,Some entries include additional details
Habits,smoking_frequency,Habits_smoking_frequency,Frequency of smoking,Categorical,N/A,"Daily, 2-3 times a week, >4 times a month, Monthly, Occasionally, Never",Dropdown,Smoking Frequency,Yes,"Consider adding quantity information (e.g., cigarettes per day)",Some entries include additional details
Habits,alcohol_consumption_frequency,Habits_alcohol_consumption_frequency,Frequency of alcohol consumption,Categorical,N/A,"Daily, 2-3 times a week, >4 times a month, Monthly, Occasionally, Never",Dropdown,Alcohol Consumption Frequency,Yes,Consider adding quantity and type information,Some entries include additional details
Habits,tobacco_use_frequency,Habits_tobacco_use_frequency,Frequency of tobacco use,Categorical,N/A,"Daily, 2-3 times a week, >4 times a month, Monthly, Occasionally, Never",Dropdown,Tobacco Use Frequency,Yes,Consider adding quantity and type information,Some entries include additional details
Habits,other_substance_use_frequency,Habits_other_substance_use_frequency,Frequency of other substance use,Categorical,N/A,"Daily, 2-3 times a week, >4 times a month, Monthly, Occasionally, Never",Dropdown,Other Substance Use Frequency,Yes,Add field to specify the substance,Some entries include substance names
Habits,substance_use_details,Habits_substance_use_details,Additional details about substance use,String,N/A,N/A,Text,Substance Use Details,Yes,Consider creating structured fields for common details,Highly variable free-text responses
COVID-19 Infection,had_covid19,COVID-19Infection_had_covid19,Whether the participant was previously infected with COVID-19,Boolean,N/A,"Yes, No",Radio,Had COVID-19,Yes,"Add follow-up questions for date of infection if ""Yes""",Some entries include additional details
