Sheet Name,Original Column Name,Recommended Column Name,Unique Column Name,Description,Data Type,Unit,Categories,Epicollect Recommended Type,Plotting Column Name,Retain?,Processing/Collection Recommendations,Data Quality Issues
Co-Morbidities,54_Bronchial_Asthma,has_bronchial_asthma,Co-Morbidities_has_bronchial_asthma,Presence of Bronchial Asthma,Boolean,N/A,"Yes, No",Radio,Has Bronchial Asthma,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,56_Duration,asthma_duration_years,Co-Morbidities_asthma_duration_years,Duration of Bronchial Asthma,Float,Years,N/A,Numeric,Asthma Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,57_Medications,asthma_medication,Co-Morbidities_asthma_medication,Medication for Bronchial Asthma,String,N/A,N/A,Text,Asthma Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,58_Particulars_Surge,asthma_particulars,Co-Morbidities_asthma_particulars,Additional details about asthma treatment,String,N/A,N/A,Text,Asthma Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,59_Epilepsy,has_epilepsy,Co-Morbidities_has_epilepsy,Presence of Epilepsy,Boolean,N/A,"Yes, No",Radio,Has Epilepsy,Yes,"Add follow-up questions for duration and medication if ""Yes""",Some entries include additional details
Co-Morbidities,61_Duration,epilepsy_duration_years,Co-Morbidities_epilepsy_duration_years,Duration of Epilepsy,Float,Years,N/A,Numeric,Epilepsy Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,62_Medications,epilepsy_medication,Co-Morbidities_epilepsy_medication,Medication for Epilepsy,String,N/A,N/A,Text,Epilepsy Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,63_Particulars_Surge,epilepsy_particulars,Co-Morbidities_epilepsy_particulars,Additional details about epilepsy treatment,String,N/A,N/A,Text,Epilepsy Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,64_Any_psychiatric_i,has_psychiatric_illness,Co-Morbidities_has_psychiatric_illness,Presence of Psychiatric Illness,Boolean,N/A,"Yes, No",Radio,Has Psychiatric Illness,Yes,"Add follow-up questions for specific diagnosis, duration, and medication if ""Yes""",Some entries include additional details
Co-Morbidities,66_Duration,psychiatric_illness_duration_years,Co-Morbidities_psychiatric_illness_duration_years,Duration of Psychiatric Illness,Float,Years,N/A,Numeric,Psychiatric Illness Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,67_Medications,psychiatric_illness_medication,Co-Morbidities_psychiatric_illness_medication,Medication for Psychiatric Illness,String,N/A,N/A,Text,Psychiatric Illness Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,68_Particulars_Surge,psychiatric_illness_particulars,Co-Morbidities_psychiatric_illness_particulars,Additional details about psychiatric illness treatment,String,N/A,N/A,Text,Psychiatric Illness Treatment Details,Yes,Consider creating categorical options for common treatments,Highly variable free-text responses
Co-Morbidities,69_Any_surgery_in_th,had_past_surgery,Co-Morbidities_had_past_surgery,History of Past Surgery,Boolean,N/A,"Yes, No",Radio,Had Past Surgery,Yes,"Add follow-up questions for type of surgery and date if ""Yes""",Some entries include additional details
Co-Morbidities,71_Duration,time_since_surgery_years,Co-Morbidities_time_since_surgery_years,Time since last surgery,Float,Years,N/A,Numeric,Time Since Surgery (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,72_Medications,post_surgery_medication,Co-Morbidities_post_surgery_medication,Current medication related to past surgery,String,N/A,N/A,Text,Post-Surgery Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,73_Particulars_Surge,surgery_particulars,Co-Morbidities_surgery_particulars,Additional details about past surgery,String,N/A,N/A,Text,Surgery Details,Yes,Consider creating categorical options for common surgeries,Highly variable free-text responses
Co-Morbidities,74_Any_other_comorbi,has_other_comorbidities,Co-Morbidities_has_other_comorbidities,Presence of Other Comorbidities,Boolean,N/A,"Yes, No",Radio,Has Other Comorbidities,Yes,"Add follow-up questions for specific conditions if ""Yes""",Some entries include additional details
Co-Morbidities,76_Duration,other_comorbidities_duration_years,Co-Morbidities_other_comorbidities_duration_years,Duration of Other Comorbidities,Float,Years,N/A,Numeric,Other Comorbidities Duration (Years),Yes,"Ensure consistent unit use, validate range",Some entries include units or ranges
Co-Morbidities,77_Medications,other_comorbidities_medication,Co-Morbidities_other_comorbidities_medication,Medication for Other Comorbidities,String,N/A,N/A,Text,Other Comorbidities Medication,Yes,Consider creating a standardized list of common medications,Highly variable free-text responses
Co-Morbidities,78_Particulars_Surge,other_comorbidities_particulars,Co-Morbidities_other_comorbidities_particulars,Additional details about other comorbidities,String,N/A,N/A,Text,Other Comorbidities Details,Yes,Consider creating categorical options for common conditions,Highly variable free-text responses
Anthropometry,ec5_branch_owner_uuid,branch_owner_id,Anthropometry_branch_owner_id,Unique identifier for branch owner,String,N/A,N/A,Text,Branch Owner ID,No,Hash or encrypt if retention is necessary for audit purposes,None observed
Anthropometry,ec5_branch_uuid,branch_id,Anthropometry_branch_id,Unique identifier for branch,String,N/A,N/A,Text,Branch ID,No,Hash or encrypt if retention is necessary for data integrity,None observed
Anthropometry,created_at,anthropometry_entry_datetime,Anthropometry_anthropometry_entry_datetime,Date and time of anthropometry data entry,DateTime,N/A,N/A,Date,Anthropometry Entry Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Anthropometry,uploaded_at,anthropometry_upload_datetime,Anthropometry_anthropometry_upload_datetime,Date and time of anthropometry data upload,DateTime,N/A,N/A,Date,Anthropometry Upload Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Anthropometry,created_by,anthropometry_entry_user,Anthropometry_anthropometry_entry_user,User who entered the anthropometry data,String,N/A,N/A,Text,Anthropometry Entry User,No,Anonymize or remove for privacy,None observed
Anthropometry,title,identifier,Anthropometry_identifier,Unique id of data entry,String,,,Text,Identifier,No,Remove from final,none
Anthropometry,152_Height_in_cm,height_cm,Anthropometry_height_cm,Height of participant,Float,cm,N/A,Numeric,Height (cm),Yes,"Validate range (e.g., 100-250 cm), ensure consistent unit use",Some entries include units
Anthropometry,153_Weight_in_kg,weight_kg,Anthropometry_weight_kg,Weight of participant,Float,kg,N/A,Numeric,Weight (kg),Yes,"Validate range (e.g., 20-300 kg), ensure consistent unit use",Some entries include units
Anthropometry,154_BMI,bmi,Anthropometry_bmi,Body Mass Index,Float,kg/m² ,N/A,Numeric,BMI (kg/m²),Yes,"Automatically calculate from height and weight, validate range (e.g., 10-60)",Some manual calculations may be incorrect
Head-to-toe Examination,ec5_branch_owner_uuid,branch_owner_id,Head-to-toeExamination_branch_owner_id,Unique identifier for branch owner,String,N/A,N/A,Text,Branch Owner ID,No,Hash or encrypt if retention is necessary for audit purposes,None observed
Head-to-toe Examination,ec5_branch_uuid,branch_id,Head-to-toeExamination_branch_id,Unique identifier for branch,String,N/A,N/A,Text,Branch ID,No,Hash or encrypt if retention is necessary for data integrity,None observed
Head-to-toe Examination,created_at,examination_entry_datetime,Head-to-toeExamination_examination_entry_datetime,Date and time of examination data entry,DateTime,N/A,N/A,Date,Examination Entry Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Head-to-toe Examination,uploaded_at,examination_upload_datetime,Head-to-toeExamination_examination_upload_datetime,Date and time of examination data upload,DateTime,N/A,N/A,Date,Examination Upload Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Head-to-toe Examination,created_by,examination_entry_user,Head-to-toeExamination_examination_entry_user,User who entered the examination data,String,N/A,N/A,Text,Examination Entry User,No,Anonymize or remove for privacy,None observed
Head-to-toe Examination,title,identifier,Head-to-toeExamination_identifier,Unique id of data entry,String,,,Text,Identifier,No,Remove from final,none
Head-to-toe Examination,156_Skin,skin_condition,Head-to-toeExamination_skin_condition,Condition of the skin,Categorical,N/A,"Normal, Abnormal",Radio,Skin Condition,Yes,"Add follow-up question for details if ""Abnormal""",Some inconsistent terminology
Head-to-toe Examination,157_Please_elaborate,skin_condition_details,Head-to-toeExamination_skin_condition_details,Details of abnormal skin condition,String,N/A,N/A,Text,Skin Condition Details,Yes,Consider creating categorical options for common skin conditions,Highly variable free-text responses
Head-to-toe Examination,158_Hair,hair_condition,Head-to-toeExamination_hair_condition,Condition of the hair,Categorical,N/A,"Normal, Abnormal",Radio,Hair Condition,Yes,"Add follow-up question for details if ""Abnormal""",Some inconsistent terminology
Head-to-toe Examination,159_Please_elaborate,hair_condition_details,Head-to-toeExamination_hair_condition_details,Details of abnormal hair condition,String,N/A,N/A,Text,Hair Condition Details,Yes,Consider creating categorical options for common hair conditions,Highly variable free-text responses
Head-to-toe Examination,160_Nails,nail_condition,Head-to-toeExamination_nail_condition,Condition of the nails,Categorical,N/A,"Normal, Abnormal",Radio,Nail Condition,Yes,"Add follow-up question for details if ""Abnormal""",Some inconsistent terminology
Head-to-toe Examination,161_Please_elaborate,nail_condition_details,Head-to-toeExamination_nail_condition_details,Details of abnormal nail condition,String,N/A,N/A,Text,Nail Condition Details,Yes,Consider creating categorical options for common nail conditions,Highly variable free-text responses
Systemic Examination,ec5_branch_owner_uuid,branch_owner_id,SystemicExamination_branch_owner_id,Unique identifier for branch owner,String,N/A,N/A,Text,Branch Owner ID,No,Hash or encrypt if retention is necessary for audit purposes,None observed
Systemic Examination,ec5_branch_uuid,branch_id,SystemicExamination_branch_id,Unique identifier for branch,String,N/A,N/A,Text,Branch ID,No,Hash or encrypt if retention is necessary for data integrity,None observed
Systemic Examination,created_at,systemic_exam_entry_datetime,SystemicExamination_systemic_exam_entry_datetime,Date and time of systemic examination data entry,DateTime,N/A,N/A,Date,Systemic Exam Entry Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Systemic Examination,uploaded_at,systemic_exam_upload_datetime,SystemicExamination_systemic_exam_upload_datetime,Date and time of systemic examination data upload,DateTime,N/A,N/A,Date,Systemic Exam Upload Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Systemic Examination,created_by,systemic_exam_entry_user,SystemicExamination_systemic_exam_entry_user,User who entered the systemic examination data,String,N/A,N/A,Text,Systemic Exam Entry User,No,Anonymize or remove for privacy,None observed
Systemic Examination,title,identifier,SystemicExamination_identifier,Unique id of data entry,String,,,Text,Identifier,No,Remove from final,none
Systemic Examination,190_CVS,cardiovascular_exam,SystemicExamination_cardiovascular_exam,Cardiovascular system examination results,String,N/A,N/A,Text,Cardiovascular Exam,Yes,Create standardized options for common findings,Highly variable free-text responses
Systemic Examination,191_RS,respiratory_exam,SystemicExamination_respiratory_exam,Respiratory system examination results,String,N/A,N/A,Text,Respiratory Exam,Yes,Create standardized options for common findings,Highly variable free-text responses
Systemic Examination,192_PA,abdominal_exam,SystemicExamination_abdominal_exam,Per Abdomen examination results,String,N/A,N/A,Text,Abdominal Exam,Yes,Create standardized options for common findings,Highly variable free-text responses
Annexure-1 MMSE,ec5_branch_owner_uuid,branch_owner_id,Annexure-1MMSE_branch_owner_id,Unique identifier for branch owner,String,N/A,N/A,Text,Branch Owner ID,No,Hash or encrypt if retention is necessary for audit purposes,None observed
Annexure-1 MMSE,ec5_branch_uuid,branch_id,Annexure-1MMSE_branch_id,Unique identifier for branch,String,N/A,N/A,Text,Branch ID,No,Hash or encrypt if retention is necessary for data integrity,None observed
Annexure-1 MMSE,created_at,mmse_entry_datetime,Annexure-1MMSE_mmse_entry_datetime,Date and time of MMSE data entry,DateTime,N/A,N/A,Date,MMSE Entry Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Annexure-1 MMSE,uploaded_at,mmse_upload_datetime,Annexure-1MMSE_mmse_upload_datetime,Date and time of MMSE data upload,DateTime,N/A,N/A,Date,MMSE Upload Date,No,Convert to consistent datetime format (ISO 8601),Some inconsistent formats
Annexure-1 MMSE,created_by,mmse_entry_user,Annexure-1MMSE_mmse_entry_user,User who entered the MMSE data,String,N/A,N/A,Text,MMSE Entry User,No,Anonymize or remove for privacy,None observed
